,City,Country,Date,Max Temp,Humidity,Cloudiness,Wind Speed,Latitude,Lng
0,Port Hawkesbury,CA,01.05.2020,30.0,86,90,21.92,45.62,-61.36
1,Orange Walk,JM,01.05.2020,80.6,78,20,10.29,17.93,-76.27
2,Vaini,IN,01.05.2020,66.2,88,75,4.7,15.34,74.49
3,Bayburt,TR,01.05.2020,12.42,90,100,5.64,40.26,40.22
4,Sitka,US,01.05.2020,36.0,53,0,1.01,37.17,-99.65
5,Tuktoyaktuk,CA,01.05.2020,-23.8,74,20,5.82,69.44,-133.03
6,Rikitea,PF,01.05.2020,76.28,76,52,16.04,-23.12,-134.97
7,Progreso,UY,01.05.2020,78.01,60,33,17.22,-34.68,-56.22
8,Hermanus,ZA,01.05.2020,64.0,93,100,9.78,-34.42,19.24
9,Half Moon Bay,US,01.05.2020,55.99,87,75,6.93,37.46,-122.43
10,Pangnirtung,CA,01.05.2020,-46.19,90,100,1.74,66.15,-65.72
11,Minsk Mazowiecki,PL,01.05.2020,30.99,100,87,2.24,52.18,21.57
12,Yellowknife,CA,01.05.2020,-16.01,82,5,5.82,62.45,-114.38
13,Jumla,NP,01.05.2020,33.28,30,3,2.53,29.28,82.18
14,Marawi,PH,01.05.2020,80.01,73,7,5.99,8.0,124.29
15,Chirongui,YT,01.05.2020,82.4,83,100,5.82,-12.93,45.15
16,Upernavik,GL,01.05.2020,-30.44,96,94,15.59,72.79,-56.15
17,San Andres,PH,01.05.2020,81.72,69,51,12.91,13.32,122.68
18,Sovetskaya,RU,01.05.2020,32.0,4,9,1.99,44.78,41.17
19,Lompoc,US,01.05.2020,60.8,52,1,13.87,34.64,-120.46
20,Chernyshevskiy,RU,01.05.2020,7.0,92,100,11.45,63.01,112.47
21,Ginir,ET,01.05.2020,61.47,67,50,3.09,7.14,40.71
22,Victor Harbor,AU,01.05.2020,72.0,45,0,16.11,-35.55,138.62
23,Atuona,PF,01.05.2020,79.9,78,63,10.71,-9.8,-139.03
24,Bluff,AU,01.05.2020,90.79,38,74,13.69,-23.58,149.07
25,Pisco,PE,01.05.2020,70.0,83,65,17.22,-13.71,-76.2
26,Albany,US,01.05.2020,30.2,63,75,6.93,42.65,-73.75
27,Avarua,CK,01.05.2020,82.4,83,100,4.7,-21.21,-159.78
28,Port Hedland,AU,01.05.2020,95.0,39,97,18.34,-20.31,118.58
29,Gushi,CN,01.05.2020,44.47,95,100,5.77,32.17,115.65
30,Ponta Delgada,PT,01.05.2020,64.4,93,75,16.11,37.73,-25.67
31,Beringovskiy,RU,01.05.2020,-6.29,80,94,16.04,63.05,179.32
32,Nome,US,01.05.2020,63.0,82,1,5.82,30.04,-94.42
33,Luderitz,NA,01.05.2020,62.92,85,0,20.76,-26.65,15.16
